2025-07-10 05:23:32.649360+00:00 - Talking detected
2025-07-10 05:23:38.618267+00:00 - Talking detected
2025-07-10 05:23:38.620384+00:00 - Talking detected
2025-07-10 05:23:38.633486+00:00 - Talking detected
2025-07-10 05:23:38.653143+00:00 - Talking detected
2025-07-10 05:23:38.660899+00:00 - Talking detected
2025-07-10 05:23:38.759444+00:00 - Talking detected
2025-07-10 05:23:39.116794+00:00 - Talking detected
2025-07-10 05:23:39.337489+00:00 - Talking detected
2025-07-10 05:23:39.348306+00:00 - Talking detected
2025-07-10 05:23:39.355609+00:00 - Talking detected
2025-07-10 05:23:39.381167+00:00 - Talking detected
2025-07-10 05:23:39.430046+00:00 - Talking detected
2025-07-10 05:23:39.653262+00:00 - Talking detected
2025-07-10 05:23:39.903185+00:00 - Talking detected
2025-07-10 05:23:39.950756+00:00 - Talking detected
2025-07-10 05:23:39.951878+00:00 - Talking detected
2025-07-10 05:23:40.015763+00:00 - Talking detected
2025-07-10 05:23:40.018116+00:00 - Talking detected
2025-07-10 05:23:40.719300+00:00 - Talking detected
2025-07-10 05:23:40.784550+00:00 - Talking detected
2025-07-10 05:23:40.805319+00:00 - Talking detected
2025-07-10 05:23:40.859682+00:00 - Talking detected
2025-07-10 05:23:40.872285+00:00 - Talking detected
2025-07-10 05:23:42.957332+00:00 - Talking detected
2025-07-10 05:23:42.997745+00:00 - Talking detected
2025-07-10 05:23:43.017744+00:00 - Talking detected
2025-07-10 05:23:43.019291+00:00 - Talking detected
2025-07-10 05:23:43.029059+00:00 - Talking detected
2025-07-10 05:23:43.033414+00:00 - Talking detected
2025-07-10 05:23:43.443107+00:00 - Talking detected
2025-07-10 05:23:43.610471+00:00 - Talking detected
2025-07-10 05:23:43.699487+00:00 - Talking detected
2025-07-10 05:23:43.703073+00:00 - Talking detected
2025-07-10 05:23:44.547754+00:00 - Talking detected
2025-07-10 05:23:44.590917+00:00 - Talking detected
2025-07-10 05:23:44.594483+00:00 - Talking detected
2025-07-10 05:23:44.681797+00:00 - Talking detected
2025-07-10 05:23:44.703090+00:00 - Talking detected
2025-07-10 05:23:44.735214+00:00 - Talking detected
2025-07-10 05:23:44.963323+00:00 - Talking detected
2025-07-10 05:23:45.141039+00:00 - Talking detected
