2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:04 | Talking detected
2025-07-11 | 00:08 | No face detected
2025-07-11 | 00:08 | No face detected
2025-07-11 | 00:09 | Talking detected
2025-07-11 | 00:09 | unauthorized_object_detected
2025-07-11 | 00:11 | No face detected
2025-07-11 | 00:14 | No face detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:15 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
2025-07-11 | 00:17 | Talking detected
